Вопрос повестки,Время,За,Против,Возд,Результат
Регистрация,16:10,0,0,0,Кворум нет
Регламентные вопросы,16:22,0,0,0,Принято
Регламентные вопросы,16:20,0,0,0,Принято
Регламентные вопросы,16:21,0,0,0,Принято
Регламентные вопросы,16:21,0,0,0,Принято
Регламентные вопросы,16:21,0,0,0,Принято
Регламентные вопросы,16:23,0,0,0,Принято
Регламентные вопросы,16:24,0,0,0,Принято
Регламентные вопросы,16:24,0,0,0,Принято
Регламентные вопросы,16:25,0,0,0,Принято
Регламентные вопросы,16:25,0,0,0,Принято
Регламентные вопросы,16:26,0,0,0,Принято
Регламентные вопросы,16:26,0,0,0,Принято
Регламентные вопросы,16:38,0,0,0,Принято
Регламентные вопросы,16:39,0,0,0,Принято